fold,id,delta_w,w
1,561985,0.0,0.0
1,616910,0.00038202127021461996,0.00038202127021461996
1,553848,0.00033259157698781546,0.00033259157698781546
1,558960,0.0,0.0
1,601820,0.00018005862011048076,0.00018005862011048076
1,559664,0.0,0.0
1,559656,0.0,0.0
1,597964,0.0005757176021488464,0.0005757176021488464
1,569357,0.0005965275426087211,0.0005965275426087211
1,559654,0.0,0.0
1,567562,0.0,0.0
1,553843,0.00022118817491798457,0.00022118817491798457
1,569359,0.0005937648784401694,0.0005937648784401694
1,561981,0.0,0.0
1,564196,0.0003941920545194323,0.0003941920545194323
1,566230,0.0,0.0
1,559657,0.0,0.0
1,569356,0.0005492352127210548,0.0005492352127210548
1,561239,0.0,0.0
1,562000,0.0,0.0
1,561999,0.0,0.0
1,559667,0.0,0.0
1,559683,0.0,0.0
1,562829,0.00042974378268931886,0.00042974378268931886
1,628950,0.0006437868635524624,0.0006437868635524624
1,559662,0.0,0.0
1,559686,0.0,0.0
1,553863,0.0,0.0
1,553879,0.0,0.0
1,559659,0.0,0.0
1,562001,0.0,0.0
1,558954,0.0,0.0
1,559682,0.0,0.0
1,566170,0.0,0.0
1,561242,0.0,0.0
1,558959,0.0,0.0
1,562794,0.0,0.0
1,561230,0.0,0.0
1,559653,0.0,0.0
1,553837,0.00032810027108576533,0.00032810027108576533
1,561974,0.0,0.0
1,569364,0.0006241021287647986,0.0006241021287647986
1,566142,0.0,0.0
1,616908,0.00026339913864939675,0.00026339913864939675
1,553831,0.00019976513248027452,0.00019976513248027452
1,616911,0.0003023661137117895,0.0003023661137117895
1,540844,0.0,0.0
1,567621,0.0,0.0
1,599323,0.0,0.0
1,553862,0.0,0.0
1,561248,0.0,0.0
1,553826,0.0,0.0
1,553876,0.0,0.0
1,558936,0.0,0.0
1,616905,0.0,0.0
1,628948,0.0005813197460427639,0.0005813197460427639
1,559681,0.0,0.0
1,561236,0.0,0.0
1,566186,0.0,0.0
1,553851,0.0,0.0
1,559666,0.0,0.0
1,559668,0.0,0.0
1,553829,0.0,0.0
1,616904,0.0,0.0
1,559676,0.0,0.0
1,559684,0.0,0.0
1,561984,0.0,0.0
1,558945,0.0,0.0
1,567560,0.0,0.0
1,565064,0.0,0.0
1,559672,0.0,0.0
1,561254,0.0,0.0
1,628943,0.0006051944378338168,0.0006051944378338168
1,558952,0.0,0.0
1,567561,0.0,0.0
1,559677,0.0,0.0
1,561232,0.0,0.0
1,558947,0.0,0.0
1,540843,0.0,0.0
1,559669,0.0,0.0
1,558944,0.0,0.0
1,601822,0.00026953985731858115,0.00026953985731858115
1,564166,0.00017380468458824805,0.00017380468458824805
1,616907,0.00025122859827064455,0.00025122859827064455
1,562802,0.0,0.0
1,564210,0.0,0.0
1,628944,0.0006431013127525237,0.0006431013127525237
1,628952,0.0006351259223496331,0.0006351259223496331
1,628942,0.0006821000658785477,0.0006821000658785477
1,561246,0.0,0.0
1,553871,0.0,0.0
1,561979,0.0,0.0
1,565065,0.0,0.0
1,562003,0.0,0.0
1,558940,0.0,0.0
1,561987,0.0,0.0
1,561978,0.0,0.0
1,553850,0.0003615888484418453,0.0003615888484418453
1,567687,0.0,0.0
1,601823,0.0,0.0
1,558943,0.0,0.0
1,560317,0.0,0.0
1,561231,0.0,0.0
1,561983,0.0,0.0
1,561251,0.0,0.0
1,559658,0.0,0.0
1,558946,0.0,0.0
1,601818,3.025198132471524e-05,3.025198132471524e-05
1,561973,0.0,0.0
1,564198,0.0,0.0
1,569367,0.00048318327251590983,0.00048318327251590983
1,561988,0.0,0.0
1,628951,0.0006031849501184006,0.0006031849501184006
1,558956,0.0,0.0
1,566146,0.0,0.0
1,601824,0.0,0.0
1,566191,1.4929288683483772e-05,1.4929288683483772e-05
1,553859,0.0,0.0
1,561238,0.0,0.0
1,561992,0.0,0.0
1,561237,0.0,0.0
1,561993,0.0,0.0
1,553830,0.0,0.0
1,561243,0.0,0.0
1,540819,0.0,0.0
1,561994,0.0,0.0
1,558938,0.0,0.0
1,609655,0.0,0.0
1,562793,0.0,0.0
1,616912,0.0002579645323104159,0.0002579645323104159
1,616909,0.0003765046608603155,0.0003765046608603155
1,564223,0.0006276663407738667,0.0006276663407738667
1,561253,0.0,0.0
1,553865,0.0,0.0
1,559673,0.0,0.0
1,558939,0.0,0.0
1,553860,1.8055617633188184e-05,1.8055617633188184e-05
1,564222,0.0006889571443126892,0.0006889571443126892
1,628937,0.0006054431368924044,0.0006054431368924044
1,559665,0.0,0.0
1,561989,0.0,0.0
1,561240,0.0,0.0
1,558937,0.0,0.0
1,628936,0.0005741705997495525,0.0005741705997495525
1,553869,0.0,0.0
1,562828,0.0,0.0
1,628946,0.0005326876320121167,0.0005326876320121167
1,553858,0.0,0.0
1,566187,0.0,0.0
1,561980,0.0,0.0
1,561986,0.0,0.0
1,562830,0.0,0.0
1,628945,0.0006088708528950165,0.0006088708528950165
1,553856,0.0,0.0
1,561982,0.0,0.0
1,616902,0.0,0.0
1,601821,0.0,0.0
1,553827,0.0,0.0
1,561991,0.0,0.0
1,566191,1.4929288683483772e-05,1.4929288683483772e-05
1,561999,0.0,0.0
1,559666,0.0,0.0
1,558945,0.0,0.0
1,616906,0.0,0.0
1,553843,0.00022118817491798457,0.00022118817491798457
1,562000,0.0,0.0
1,561242,0.0,0.0
1,562003,0.0,0.0
1,561229,0.0,0.0
1,562794,0.0,0.0
1,628949,0.0006591074703224589,0.0006591074703224589
1,558959,0.0,0.0
1,559660,0.0,0.0
1,559662,0.0,0.0
1,558951,0.0,0.0
1,558934,0.0,0.0
1,553838,0.0,0.0
1,553881,0.0,0.0
1,540819,0.0,0.0
1,559668,0.0,0.0
1,558958,0.0,0.0
1,628952,0.0006351259223496331,0.0006351259223496331
1,564166,0.00017380468458824805,0.00017380468458824805
1,553851,0.0,0.0
1,616902,0.0,0.0
1,561243,0.0,0.0
1,616904,0.0,0.0
1,566136,0.0,0.0
1,599324,0.0,0.0
1,562831,0.0,0.0
1,561233,0.0,0.0
1,567563,0.0,0.0
1,561976,0.0,0.0
1,599323,0.0,0.0
1,561981,0.0,0.0
1,558941,0.0,0.0
1,562803,0.0,0.0
1,558937,0.0,0.0
1,553831,0.00019976513248027452,0.00019976513248027452
1,568117,0.0,0.0
1,559651,0.0,0.0
1,559655,0.0,0.0
1,561983,0.0,0.0
1,564198,0.0,0.0
1,553852,0.00032116291319425096,0.00032116291319425096
1,569367,0.00048318327251590983,0.00048318327251590983
1,559653,0.0,0.0
1,569359,0.0005937648784401694,0.0005937648784401694
1,561980,0.0,0.0
1,616909,0.0003765046608603155,0.0003765046608603155
1,562832,0.0004772968806400223,0.0004772968806400223
1,561987,0.0,0.0
1,564212,0.000473731893068716,0.000473731893068716
1,561985,0.0,0.0
1,553876,0.0,0.0
1,553871,0.0,0.0
1,553830,0.0,0.0
1,628948,0.0005813197460427639,0.0005813197460427639
1,566193,0.0,0.0
1,601824,0.0,0.0
1,561250,0.0,0.0
1,559673,0.0,0.0
1,558936,0.0,0.0
1,567562,0.0,0.0
1,558939,0.0,0.0
1,558956,0.0,0.0
1,553865,0.0,0.0
1,561988,0.0,0.0
1,628946,0.0005326876320121167,0.0005326876320121167
1,562802,0.0,0.0
1,553877,0.0,0.0
1,559661,0.0,0.0
1,569364,0.0006241021287647986,0.0006241021287647986
1,559688,0.0,0.0
1,628944,0.0006431013127525237,0.0006431013127525237
1,564222,0.0006889571443126892,0.0006889571443126892
1,609655,0.0,0.0
1,559674,0.0,0.0
1,564211,0.0,0.0
1,559676,0.0,0.0
1,628945,0.0006088708528950165,0.0006088708528950165
1,616908,0.00026339913864939675,0.00026339913864939675
1,558940,0.0,0.0
1,561230,0.0,0.0
1,560317,0.0,0.0
1,566146,0.0,0.0
1,564195,0.0,0.0
1,564196,0.0003941920545194323,0.0003941920545194323
1,558947,0.0,0.0
1,566170,0.0,0.0
1,553869,0.0,0.0
1,561239,0.0,0.0
1,553829,0.0,0.0
1,561247,0.0,0.0
1,553864,0.0,0.0
1,561253,0.0,0.0
1,564194,0.0,0.0
1,561249,0.0,0.0
1,558943,0.0,0.0
1,628937,0.0006054431368924044,0.0006054431368924044
1,628942,0.0006821000658785477,0.0006821000658785477
1,567621,0.0,0.0
1,565065,0.0,0.0
1,559677,0.0,0.0
1,569371,0.0005838305753300121,0.0005838305753300121
1,628953,0.0006524720776714851,0.0006524720776714851
1,553862,0.0,0.0
1,559672,0.0,0.0
1,561240,0.0,0.0
1,569365,0.0005902740804324932,0.0005902740804324932
1,558944,0.0,0.0
1,553879,0.0,0.0
1,559656,0.0,0.0
1,628950,0.0006437868635524624,0.0006437868635524624
1,566186,0.0,0.0
1,561235,0.0,0.0
1,558938,0.0,0.0
1,601825,0.0,0.0
1,561979,0.0,0.0
1,601818,3.025198132471524e-05,3.025198132471524e-05
1,616912,0.0002579645323104159,0.0002579645323104159
1,561986,0.0,0.0
1,564161,0.00021148274224294458,0.00021148274224294458
1,559680,0.0,0.0
1,559670,0.0,0.0
1,569357,0.0005965275426087211,0.0005965275426087211
1,559669,0.0,0.0
1,553837,0.00032810027108576533,0.00032810027108576533
1,559687,0.0,0.0
1,559685,0.0,0.0
1,553860,1.8055617633188184e-05,1.8055617633188184e-05
1,561255,0.0,0.0
1,561244,0.0,0.0
1,561252,0.0,0.0
1,616903,0.0,0.0
1,628951,0.0006031849501184006,0.0006031849501184006
1,561973,0.0,0.0
1,601821,0.0,0.0
1,561246,0.0,0.0
1,566187,0.0,0.0
1,561237,0.0,0.0
1,553857,0.0,0.0
1,561995,0.0,0.0
1,564223,0.0006276663407738667,0.0006276663407738667
1,561231,0.0,0.0
1,553850,0.0003615888484418453,0.0003615888484418453
1,597964,0.0005757176021488464,0.0005757176021488464
1,567560,0.0,0.0
1,558962,0.0,0.0
1,562830,0.0,0.0
1,558935,0.0,0.0
1,553827,0.0,0.0
1,561982,0.0,0.0
1,553866,0.0,0.0
1,567687,0.0,0.0
1,566142,0.0,0.0
1,561978,0.0,0.0
1,562828,0.0,0.0
1,558954,0.0,0.0
1,561989,0.0,0.0
1,567561,0.0,0.0
1,616905,0.0,0.0
1,564205,0.0003601583049201437,0.0003601583049201437
1,558952,0.0,0.0
1,559686,0.0,0.0
1,553848,0.00033259157698781546,0.00033259157698781546
1,628940,0.0,0.0
1,559665,0.0,0.0
1,561990,0.0,0.0
1,553849,0.0,0.0
1,562829,0.00042974378268931886,0.00042974378268931886
1,559679,0.0,0.0
1,569369,0.0006514068174756924,0.0006514068174756924
1,561975,0.0,0.0
1,559667,0.0,0.0
1,561994,0.0,0.0
1,553828,0.0,0.0
1,628943,0.0006051944378338168,0.0006051944378338168
1,601820,0.00018005862011048076,0.00018005862011048076
1,616907,0.00025122859827064455,0.00025122859827064455
1,559690,0.0,0.0
1,561998,0.0,0.0
1,553839,0.00038996765883427567,0.00038996765883427567
1,561993,0.0,0.0
1,562793,0.0,0.0
1,561241,0.0,0.0
1,564210,0.0,0.0
1,558949,0.0,0.0
1,569356,0.0005492352127210548,0.0005492352127210548
1,561232,0.0,0.0
1,566140,0.0,0.0
1,559675,0.0,0.0
1,561996,0.0,0.0
1,558957,0.0,0.0
1,562002,0.0,0.0
1,559659,0.0,0.0
1,553859,0.0,0.0
1,561234,0.0,0.0
1,561977,0.0,0.0
1,559652,0.0,0.0
1,564213,0.00030483054985517346,0.00030483054985517346
1,559658,0.0,0.0
1,561238,0.0,0.0
1,601822,0.00026953985731858115,0.00026953985731858115
1,553826,0.0,0.0
1,558960,0.0,0.0
1,561251,0.0,0.0
1,616913,0.00019500712810056049,0.00019500712810056049
1,601823,0.0,0.0
1,559684,0.0,0.0
1,558946,0.0,0.0
1,559689,0.0,0.0
1,628936,0.0005741705997495525,0.0005741705997495525
1,561248,0.0,0.0
1,561984,0.0,0.0
1,559683,0.0,0.0
1,558955,0.0,0.0
1,561992,0.0,0.0
1,540843,0.0,0.0
1,559682,0.0,0.0
1,616911,0.0003023661137117895,0.0003023661137117895
1,561236,0.0,0.0
1,553856,0.0,0.0
1,559664,0.0,0.0
1,559681,0.0,0.0
1,559654,0.0,0.0
1,558961,0.0,0.0
1,566230,0.0,0.0
1,565064,0.0,0.0
1,562001,0.0,0.0
1,561974,0.0,0.0
1,553824,0.0,0.0
1,616910,0.00038202127021461996,0.00038202127021461996
1,601819,0.0,0.0
1,561245,0.0,0.0
1,566188,0.0,0.0
1,561254,0.0,0.0
1,559663,0.0,0.0
1,559671,0.0,0.0
1,553858,0.0,0.0
1,559678,0.0,0.0
1,559657,0.0,0.0
1,540844,0.0,0.0
1,553863,0.0,0.0
1,553879,0.0,0.0
1,561242,0.0,0.0
1,559664,0.0,0.0
1,562832,0.0004772968806400223,0.0004772968806400223
1,567560,0.0,0.0
1,559671,0.0,0.0
1,553829,0.0,0.0
1,561247,0.0,0.0
1,616909,0.0003765046608603155,0.0003765046608603155
1,559688,0.0,0.0
1,553831,0.00019976513248027452,0.00019976513248027452
1,561982,0.0,0.0
1,628945,0.0006088708528950165,0.0006088708528950165
1,553852,0.00032116291319425096,0.00032116291319425096
1,564223,0.0006276663407738667,0.0006276663407738667
1,565064,0.0,0.0
1,564195,0.0,0.0
1,553876,0.0,0.0
1,566146,0.0,0.0
1,566193,0.0,0.0
1,553864,0.0,0.0
1,628944,0.0006431013127525237,0.0006431013127525237
1,559659,0.0,0.0
1,559675,0.0,0.0
1,564196,0.0003941920545194323,0.0003941920545194323
1,562001,0.0,0.0
1,564211,0.0,0.0
1,559655,0.0,0.0
1,616912,0.0002579645323104159,0.0002579645323104159
1,553837,0.00032810027108576533,0.00032810027108576533
1,559674,0.0,0.0
1,566230,0.0,0.0
1,553838,0.0,0.0
1,553828,0.0,0.0
1,569365,0.0005902740804324932,0.0005902740804324932
1,553848,0.00033259157698781546,0.00033259157698781546
1,558956,0.0,0.0
1,561246,0.0,0.0
1,553850,0.0003615888484418453,0.0003615888484418453
1,562793,0.0,0.0
1,564161,0.00021148274224294458,0.00021148274224294458
1,561238,0.0,0.0
1,566187,0.0,0.0
1,558944,0.0,0.0
1,566186,0.0,0.0
1,616910,0.00038202127021461996,0.00038202127021461996
1,559681,0.0,0.0
1,616907,0.00025122859827064455,0.00025122859827064455
1,599324,0.0,0.0
1,559672,0.0,0.0
1,559673,0.0,0.0
1,561236,0.0,0.0
1,553877,0.0,0.0
1,561998,0.0,0.0
1,561988,0.0,0.0
1,558951,0.0,0.0
1,569359,0.0005937648784401694,0.0005937648784401694
1,567562,0.0,0.0
1,562828,0.0,0.0
1,559668,0.0,0.0
1,569357,0.0005965275426087211,0.0005965275426087211
1,553849,0.0,0.0
1,561985,0.0,0.0
1,569356,0.0005492352127210548,0.0005492352127210548
1,558945,0.0,0.0
1,559689,0.0,0.0
1,553865,0.0,0.0
1,559686,0.0,0.0
1,601818,3.025198132471524e-05,3.025198132471524e-05
1,561231,0.0,0.0
1,561992,0.0,0.0
1,553824,0.0,0.0
1,558962,0.0,0.0
1,601822,0.00026953985731858115,0.00026953985731858115
1,559679,0.0,0.0
1,566191,1.4929288683483772e-05,1.4929288683483772e-05
1,558941,0.0,0.0
1,628951,0.0006031849501184006,0.0006031849501184006
1,597964,0.0005757176021488464,0.0005757176021488464
1,601821,0.0,0.0
1,553871,0.0,0.0
1,559663,0.0,0.0
1,601824,0.0,0.0
1,569369,0.0006514068174756924,0.0006514068174756924
1,561999,0.0,0.0
1,560317,0.0,0.0
1,564212,0.000473731893068716,0.000473731893068716
1,562802,0.0,0.0
1,553827,0.0,0.0
1,569367,0.00048318327251590983,0.00048318327251590983
1,553858,0.0,0.0
1,553857,0.0,0.0
1,561237,0.0,0.0
1,559665,0.0,0.0
1,559657,0.0,0.0
1,559676,0.0,0.0
1,616906,0.0,0.0
1,559670,0.0,0.0
1,559660,0.0,0.0
1,561977,0.0,0.0
1,561255,0.0,0.0
1,558954,0.0,0.0
1,561990,0.0,0.0
1,569364,0.0006241021287647986,0.0006241021287647986
1,540819,0.0,0.0
1,558938,0.0,0.0
1,562794,0.0,0.0
1,561232,0.0,0.0
1,561978,0.0,0.0
1,561239,0.0,0.0
1,559669,0.0,0.0
1,599323,0.0,0.0
1,559653,0.0,0.0
1,601823,0.0,0.0
1,628948,0.0005813197460427639,0.0005813197460427639
1,553860,1.8055617633188184e-05,1.8055617633188184e-05
1,566170,0.0,0.0
1,559687,0.0,0.0
1,553830,0.0,0.0
1,558958,0.0,0.0
1,553839,0.00038996765883427567,0.00038996765883427567
1,559684,0.0,0.0
1,561249,0.0,0.0
1,553859,0.0,0.0
1,628940,0.0,0.0
1,561254,0.0,0.0
1,561248,0.0,0.0
1,601825,0.0,0.0
1,566142,0.0,0.0
1,561244,0.0,0.0
1,553826,0.0,0.0
1,628936,0.0005741705997495525,0.0005741705997495525
1,561229,0.0,0.0
1,561996,0.0,0.0
1,561243,0.0,0.0
1,601819,0.0,0.0
1,628946,0.0005326876320121167,0.0005326876320121167
1,628942,0.0006821000658785477,0.0006821000658785477
1,559654,0.0,0.0
1,559651,0.0,0.0
1,553863,0.0,0.0
1,559662,0.0,0.0
1,559690,0.0,0.0
1,561986,0.0,0.0
1,561981,0.0,0.0
1,562803,0.0,0.0
1,564198,0.0,0.0
1,616904,0.0,0.0
1,561230,0.0,0.0
1,628949,0.0006591074703224589,0.0006591074703224589
1,553869,0.0,0.0
1,558952,0.0,0.0
1,540843,0.0,0.0
1,567621,0.0,0.0
1,561251,0.0,0.0
1,561980,0.0,0.0
1,558934,0.0,0.0
1,558957,0.0,0.0
1,558943,0.0,0.0
1,562830,0.0,0.0
1,561974,0.0,0.0
1,569371,0.0005838305753300121,0.0005838305753300121
1,562002,0.0,0.0
1,559677,0.0,0.0
1,558961,0.0,0.0
1,540844,0.0,0.0
1,561973,0.0,0.0
1,628943,0.0006051944378338168,0.0006051944378338168
1,564222,0.0006889571443126892,0.0006889571443126892
1,561989,0.0,0.0
1,564194,0.0,0.0
1,616902,0.0,0.0
1,561240,0.0,0.0
1,558940,0.0,0.0
1,559680,0.0,0.0
1,561245,0.0,0.0
1,558955,0.0,0.0
1,562000,0.0,0.0
1,566136,0.0,0.0
1,559656,0.0,0.0
1,566188,0.0,0.0
1,561233,0.0,0.0
1,553866,0.0,0.0
1,558937,0.0,0.0
1,558949,0.0,0.0
1,559683,0.0,0.0
1,553881,0.0,0.0
1,616913,0.00019500712810056049,0.00019500712810056049
1,553851,0.0,0.0
1,561975,0.0,0.0
1,561987,0.0,0.0
1,562831,0.0,0.0
1,558960,0.0,0.0
1,553862,0.0,0.0
1,561995,0.0,0.0
1,561253,0.0,0.0
1,568117,0.0,0.0
1,558935,0.0,0.0
1,609655,0.0,0.0
1,559685,0.0,0.0
1,558959,0.0,0.0
1,559666,0.0,0.0
1,567563,0.0,0.0
1,558946,0.0,0.0
1,561983,0.0,0.0
1,561241,0.0,0.0
1,564210,0.0,0.0
1,601820,0.00018005862011048076,0.00018005862011048076
1,553843,0.00022118817491798457,0.00022118817491798457
1,561250,0.0,0.0
1,616911,0.0003023661137117895,0.0003023661137117895
1,561994,0.0,0.0
1,559661,0.0,0.0
1,559652,0.0,0.0
1,616905,0.0,0.0
1,567561,0.0,0.0
1,561234,0.0,0.0
1,561984,0.0,0.0
1,558939,0.0,0.0
1,559682,0.0,0.0
1,561252,0.0,0.0
1,561235,0.0,0.0
1,567687,0.0,0.0
1,562829,0.00042974378268931886,0.00042974378268931886
1,564205,0.0003601583049201437,0.0003601583049201437
1,553856,0.0,0.0
1,564166,0.00017380468458824805,0.00017380468458824805
1,561979,0.0,0.0
1,558936,0.0,0.0
1,616908,0.00026339913864939675,0.00026339913864939675
1,561991,0.0,0.0
1,628950,0.0006437868635524624,0.0006437868635524624
1,628937,0.0006054431368924044,0.0006054431368924044
1,564213,0.00030483054985517346,0.00030483054985517346
1,566140,0.0,0.0
1,559658,0.0,0.0
1,562003,0.0,0.0
1,565065,0.0,0.0
1,628952,0.0006351259223496331,0.0006351259223496331
1,558947,0.0,0.0
1,559667,0.0,0.0
1,561993,0.0,0.0
1,628953,0.0006524720776714851,0.0006524720776714851
1,616903,0.0,0.0
1,559678,0.0,0.0
1,561976,0.0,0.0
1,561979,0.0,0.0
1,559658,0.0,0.0
1,559676,0.0,0.0
1,564196,0.0003941920545194323,0.0003941920545194323
1,601825,0.0,0.0
1,628946,0.0005326876320121167,0.0005326876320121167
1,559666,0.0,0.0
1,559674,0.0,0.0
1,561994,0.0,0.0
1,553876,0.0,0.0
1,559657,0.0,0.0
1,559679,0.0,0.0
1,561230,0.0,0.0
1,558937,0.0,0.0
1,562001,0.0,0.0
1,559680,0.0,0.0
1,628953,0.0006524720776714851,0.0006524720776714851
1,569371,0.0005838305753300121,0.0005838305753300121
1,559677,0.0,0.0
1,561240,0.0,0.0
1,566136,0.0,0.0
1,558956,0.0,0.0
1,561993,0.0,0.0
1,553843,0.00022118817491798457,0.00022118817491798457
1,601820,0.00018005862011048076,0.00018005862011048076
1,540843,0.0,0.0
1,566170,0.0,0.0
1,567561,0.0,0.0
1,561990,0.0,0.0
1,561251,0.0,0.0
1,561234,0.0,0.0
1,553850,0.0003615888484418453,0.0003615888484418453
1,561247,0.0,0.0
1,566187,0.0,0.0
1,599324,0.0,0.0
1,616909,0.0003765046608603155,0.0003765046608603155
1,553826,0.0,0.0
1,599323,0.0,0.0
1,559687,0.0,0.0
1,558961,0.0,0.0
1,559681,0.0,0.0
1,567687,0.0,0.0
1,561978,0.0,0.0
1,553837,0.00032810027108576533,0.00032810027108576533
1,566142,0.0,0.0
1,567560,0.0,0.0
1,559656,0.0,0.0
1,561988,0.0,0.0
1,562828,0.0,0.0
1,561999,0.0,0.0
1,553871,0.0,0.0
1,540819,0.0,0.0
1,564211,0.0,0.0
1,559684,0.0,0.0
1,553877,0.0,0.0
1,559655,0.0,0.0
1,553851,0.0,0.0
1,559688,0.0,0.0
1,562830,0.0,0.0
1,564166,0.00017380468458824805,0.00017380468458824805
1,559652,0.0,0.0
1,561974,0.0,0.0
1,561245,0.0,0.0
1,553852,0.00032116291319425096,0.00032116291319425096
1,562002,0.0,0.0
1,558935,0.0,0.0
1,601819,0.0,0.0
1,566188,0.0,0.0
1,628943,0.0006051944378338168,0.0006051944378338168
1,553859,0.0,0.0
1,561242,0.0,0.0
1,569364,0.0006241021287647986,0.0006241021287647986
1,562831,0.0,0.0
1,553865,0.0,0.0
1,559673,0.0,0.0
1,616908,0.00026339913864939675,0.00026339913864939675
1,561973,0.0,0.0
1,558936,0.0,0.0
1,553824,0.0,0.0
1,628951,0.0006031849501184006,0.0006031849501184006
1,561233,0.0,0.0
1,561246,0.0,0.0
1,616903,0.0,0.0
1,558946,0.0,0.0
1,559685,0.0,0.0
1,560317,0.0,0.0
1,558957,0.0,0.0
1,553839,0.00038996765883427567,0.00038996765883427567
1,601818,3.025198132471524e-05,3.025198132471524e-05
1,553831,0.00019976513248027452,0.00019976513248027452
1,564210,0.0,0.0
1,561989,0.0,0.0
1,553857,0.0,0.0
1,561229,0.0,0.0
1,616912,0.0002579645323104159,0.0002579645323104159
1,565065,0.0,0.0
1,558949,0.0,0.0
1,558955,0.0,0.0
1,616911,0.0003023661137117895,0.0003023661137117895
1,553866,0.0,0.0
1,559662,0.0,0.0
1,540844,0.0,0.0
1,568117,0.0,0.0
1,566230,0.0,0.0
1,564198,0.0,0.0
1,559653,0.0,0.0
1,553864,0.0,0.0
1,559654,0.0,0.0
1,561239,0.0,0.0
1,564223,0.0006276663407738667,0.0006276663407738667
1,553827,0.0,0.0
1,558958,0.0,0.0
1,553838,0.0,0.0
1,559651,0.0,0.0
1,561991,0.0,0.0
1,561236,0.0,0.0
1,628948,0.0005813197460427639,0.0005813197460427639
1,558960,0.0,0.0
1,559669,0.0,0.0
1,569356,0.0005492352127210548,0.0005492352127210548
1,601823,0.0,0.0
1,553863,0.0,0.0
1,561238,0.0,0.0
1,567621,0.0,0.0
1,561995,0.0,0.0
1,558962,0.0,0.0
1,559690,0.0,0.0
1,628937,0.0006054431368924044,0.0006054431368924044
1,561980,0.0,0.0
1,559671,0.0,0.0
1,559659,0.0,0.0
1,628952,0.0006351259223496331,0.0006351259223496331
1,561975,0.0,0.0
1,628945,0.0006088708528950165,0.0006088708528950165
1,566146,0.0,0.0
1,566140,0.0,0.0
1,628940,0.0,0.0
1,558947,0.0,0.0
1,558945,0.0,0.0
1,561985,0.0,0.0
1,564212,0.000473731893068716,0.000473731893068716
1,561981,0.0,0.0
1,616902,0.0,0.0
1,628936,0.0005741705997495525,0.0005741705997495525
1,569369,0.0006514068174756924,0.0006514068174756924
1,559689,0.0,0.0
1,561254,0.0,0.0
1,558941,0.0,0.0
1,561982,0.0,0.0
1,564161,0.00021148274224294458,0.00021148274224294458
1,566193,0.0,0.0
1,553849,0.0,0.0
1,567562,0.0,0.0
1,553828,0.0,0.0
1,558959,0.0,0.0
1,562793,0.0,0.0
1,561232,0.0,0.0
1,561231,0.0,0.0
1,566191,1.4929288683483772e-05,1.4929288683483772e-05
1,559665,0.0,0.0
1,616913,0.00019500712810056049,0.00019500712810056049
1,553856,0.0,0.0
1,561983,0.0,0.0
1,558943,0.0,0.0
1,564194,0.0,0.0
1,564195,0.0,0.0
1,561237,0.0,0.0
1,558952,0.0,0.0
1,558954,0.0,0.0
1,561243,0.0,0.0
1,559686,0.0,0.0
1,628949,0.0006591074703224589,0.0006591074703224589
1,559668,0.0,0.0
1,553858,0.0,0.0
1,559667,0.0,0.0
1,562794,0.0,0.0
1,559661,0.0,0.0
1,561249,0.0,0.0
1,562829,0.00042974378268931886,0.00042974378268931886
1,559663,0.0,0.0
1,601821,0.0,0.0
1,628942,0.0006821000658785477,0.0006821000658785477
1,553862,0.0,0.0
1,628944,0.0006431013127525237,0.0006431013127525237
1,609655,0.0,0.0
1,559682,0.0,0.0
1,616907,0.00025122859827064455,0.00025122859827064455
1,564205,0.0003601583049201437,0.0003601583049201437
1,562802,0.0,0.0
1,561250,0.0,0.0
1,561977,0.0,0.0
1,553829,0.0,0.0
1,558940,0.0,0.0
1,564213,0.00030483054985517346,0.00030483054985517346
1,559678,0.0,0.0
1,561992,0.0,0.0
1,558951,0.0,0.0
1,553848,0.00033259157698781546,0.00033259157698781546
1,597964,0.0005757176021488464,0.0005757176021488464
1,553879,0.0,0.0
1,558934,0.0,0.0
1,628950,0.0006437868635524624,0.0006437868635524624
1,562832,0.0004772968806400223,0.0004772968806400223
1,564222,0.0006889571443126892,0.0006889571443126892
1,561255,0.0,0.0
1,562000,0.0,0.0
1,561984,0.0,0.0
1,601822,0.00026953985731858115,0.00026953985731858115
1,559683,0.0,0.0
1,566186,0.0,0.0
1,569357,0.0005965275426087211,0.0005965275426087211
1,616906,0.0,0.0
1,559664,0.0,0.0
1,559670,0.0,0.0
1,601824,0.0,0.0
1,569367,0.00048318327251590983,0.00048318327251590983
1,561998,0.0,0.0
1,562803,0.0,0.0
1,553860,1.8055617633188184e-05,1.8055617633188184e-05
1,616910,0.00038202127021461996,0.00038202127021461996
1,558944,0.0,0.0
1,567563,0.0,0.0
1,561252,0.0,0.0
1,561244,0.0,0.0
1,561987,0.0,0.0
1,561996,0.0,0.0
1,561976,0.0,0.0
1,561235,0.0,0.0
1,561253,0.0,0.0
1,553869,0.0,0.0
1,561986,0.0,0.0
1,561248,0.0,0.0
1,616904,0.0,0.0
1,559675,0.0,0.0
1,553830,0.0,0.0
1,558938,0.0,0.0
1,565064,0.0,0.0
1,569365,0.0005902740804324932,0.0005902740804324932
1,559660,0.0,0.0
1,569359,0.0005937648784401694,0.0005937648784401694
1,559672,0.0,0.0
1,553881,0.0,0.0
1,561241,0.0,0.0
1,558939,0.0,0.0
1,562003,0.0,0.0
1,616905,0.0,0.0
1,540843,0.0,0.0
